Gene stable ID	Gene stable ID version	Gene name	Chromosome/scaffold name
ENSMUSG00000064372	ENSMUSG00000064372.1	mt-Tp	MT
ENSMUSG00000064371	ENSMUSG00000064371.1	mt-Tt	MT
ENSMUSG00000064370	ENSMUSG00000064370.1	mt-Cytb	MT
ENSMUSG00000064369	ENSMUSG00000064369.1	mt-Te	MT
ENSMUSG00000064368	ENSMUSG00000064368.1	mt-Nd6	MT
ENSMUSG00000064367	ENSMUSG00000064367.1	mt-Nd5	MT
ENSMUSG00000064366	ENSMUSG00000064366.1	mt-Tl2	MT
ENSMUSG00000064365	ENSMUSG00000064365.1	mt-Ts2	MT
ENSMUSG00000064364	ENSMUSG00000064364.1	mt-Th	MT
ENSMUSG00000064363	ENSMUSG00000064363.1	mt-Nd4	MT
ENSMUSG00000065947	ENSMUSG00000065947.3	mt-Nd4l	MT
ENSMUSG00000064361	ENSMUSG00000064361.1	mt-Tr	MT
ENSMUSG00000064360	ENSMUSG00000064360.1	mt-Nd3	MT
ENSMUSG00000064359	ENSMUSG00000064359.1	mt-Tg	MT
ENSMUSG00000064358	ENSMUSG00000064358.1	mt-Co3	MT
ENSMUSG00000064357	ENSMUSG00000064357.1	mt-Atp6	MT
ENSMUSG00000064356	ENSMUSG00000064356.3	mt-Atp8	MT
ENSMUSG00000064355	ENSMUSG00000064355.1	mt-Tk	MT
ENSMUSG00000064354	ENSMUSG00000064354.1	mt-Co2	MT
ENSMUSG00000064353	ENSMUSG00000064353.1	mt-Td	MT
ENSMUSG00000064352	ENSMUSG00000064352.1	mt-Ts1	MT
ENSMUSG00000064351	ENSMUSG00000064351.1	mt-Co1	MT
ENSMUSG00000064350	ENSMUSG00000064350.1	mt-Ty	MT
ENSMUSG00000064349	ENSMUSG00000064349.1	mt-Tc	MT
ENSMUSG00000064348	ENSMUSG00000064348.1	mt-Tn	MT
ENSMUSG00000064347	ENSMUSG00000064347.1	mt-Ta	MT
ENSMUSG00000064346	ENSMUSG00000064346.1	mt-Tw	MT
ENSMUSG00000064345	ENSMUSG00000064345.1	mt-Nd2	MT
ENSMUSG00000064344	ENSMUSG00000064344.1	mt-Tm	MT
ENSMUSG00000064343	ENSMUSG00000064343.1	mt-Tq	MT
ENSMUSG00000064342	ENSMUSG00000064342.1	mt-Ti	MT
ENSMUSG00000064341	ENSMUSG00000064341.1	mt-Nd1	MT
ENSMUSG00000064340	ENSMUSG00000064340.1	mt-Tl1	MT
ENSMUSG00000064339	ENSMUSG00000064339.1	mt-Rnr2	MT
ENSMUSG00000064338	ENSMUSG00000064338.1	mt-Tv	MT
ENSMUSG00000064337	ENSMUSG00000064337.1	mt-Rnr1	MT
ENSMUSG00000064336	ENSMUSG00000064336.1	mt-Tf	MT
ENSMUSG00000085084	ENSMUSG00000085084.7	4930570G19Rik	3
ENSMUSG00000082693	ENSMUSG00000082693.3	Gm15190	X
ENSMUSG00000060216	ENSMUSG00000060216.15	Arrb2	11
ENSMUSG00000042506	ENSMUSG00000042506.15	Usp22	11
ENSMUSG00000100228	ENSMUSG00000100228.1	Gm29257	1
ENSMUSG00000109332	ENSMUSG00000109332.1	Gm44742	7
ENSMUSG00000108745	ENSMUSG00000108745.1	Gm17908	7
ENSMUSG00000108445	ENSMUSG00000108445.1	Gm17918	7
ENSMUSG00000075025	ENSMUSG00000075025.10	Gm10804	2
ENSMUSG00000108587	ENSMUSG00000108587.1	1810049I09Rik	7
ENSMUSG00000108500	ENSMUSG00000108500.1	Gm45033	7
ENSMUSG00000028256	ENSMUSG00000028256.16	Odf2l	3
ENSMUSG00000108738	ENSMUSG00000108738.1	Gm44777	7
ENSMUSG00000111411	ENSMUSG00000111411.1	Gm33778	9
ENSMUSG00000079471	ENSMUSG00000079471.4	Mymx	17
ENSMUSG00000029364	ENSMUSG00000029364.15	Wsb2	5
ENSMUSG00000043964	ENSMUSG00000043964.14	Orai3	7
ENSMUSG00000046805	ENSMUSG00000046805.10	Mpeg1	19
ENSMUSG00000108359	ENSMUSG00000108359.1	C430039J01Rik	7
ENSMUSG00000025016	ENSMUSG00000025016.11	Tm9sf3	19
ENSMUSG00000097592	ENSMUSG00000097592.2	4930500F10Rik	9
ENSMUSG00000027332	ENSMUSG00000027332.11	Ivd	2
ENSMUSG00000045374	ENSMUSG00000045374.18	Wdr81	11
ENSMUSG00000032786	ENSMUSG00000032786.16	Alas1	9
ENSMUSG00000068085	ENSMUSG00000068085.6	Cyp2d11	15
ENSMUSG00000110410	ENSMUSG00000110410.1	4933421D24Rik	8
ENSMUSG00000109732	ENSMUSG00000109732.1	Gm45285	8
ENSMUSG00000020255	ENSMUSG00000020255.8	D10Wsu102e	10
ENSMUSG00000110258	ENSMUSG00000110258.1	Gm45406	8
ENSMUSG00000037148	ENSMUSG00000037148.8	Arhgap10	8
ENSMUSG00000020256	ENSMUSG00000020256.14	Aldh1l2	10
ENSMUSG00000084780	ENSMUSG00000084780.7	Gm15350	8
ENSMUSG00000027452	ENSMUSG00000027452.11	Acss1	2
ENSMUSG00000065954	ENSMUSG00000065954.11	Tacc1	8
ENSMUSG00000020780	ENSMUSG00000020780.15	Srp68	11
ENSMUSG00000026632	ENSMUSG00000026632.17	Tatdn3	1
ENSMUSG00000032489	ENSMUSG00000032489.17	Kif9	9
ENSMUSG00000078940	ENSMUSG00000078940.8	Wfdc11	2
ENSMUSG00000107109	ENSMUSG00000107109.1	Gm42571	5
ENSMUSG00000090561	ENSMUSG00000090561.2	Gm17207	5
ENSMUSG00000085465	ENSMUSG00000085465.1	Gm15347	8
ENSMUSG00000107171	ENSMUSG00000107171.1	Gm42572	5
ENSMUSG00000029363	ENSMUSG00000029363.14	Rfc5	5
ENSMUSG00000113357	ENSMUSG00000113357.1	Gm19195	12
ENSMUSG00000067704	ENSMUSG00000067704.1	Wfdc13	2
ENSMUSG00000031441	ENSMUSG00000031441.15	Atp11a	8
ENSMUSG00000001227	ENSMUSG00000001227.12	Sema6b	17
ENSMUSG00000017310	ENSMUSG00000017310.7	Spint4	2
ENSMUSG00000042289	ENSMUSG00000042289.11	Hsd3b7	7
ENSMUSG00000030729	ENSMUSG00000030729.17	Pgm2l1	7
ENSMUSG00000032528	ENSMUSG00000032528.5	Vipr1	9
ENSMUSG00000074593	ENSMUSG00000074593.11	Spint5	2
ENSMUSG00000039103	ENSMUSG00000039103.12	Nexn	3
ENSMUSG00000107378	ENSMUSG00000107378.1	Gm18995	6
ENSMUSG00000107379	ENSMUSG00000107379.1	Gm43126	6
ENSMUSG00000076434	ENSMUSG00000076434.9	Wfdc3	2
ENSMUSG00000097166	ENSMUSG00000097166.1	9330179D12Rik	6
ENSMUSG00000106755	ENSMUSG00000106755.1	Tpi-rs11	6
ENSMUSG00000052142	ENSMUSG00000052142.15	Rasal3	17
ENSMUSG00000000184	ENSMUSG00000000184.12	Ccnd2	6
ENSMUSG00000082626	ENSMUSG00000082626.1	Rps13-ps5	11
ENSMUSG00000039768	ENSMUSG00000039768.16	Dnajc11	4
ENSMUSG00000014859	ENSMUSG00000014859.9	E2f4	8
ENSMUSG00000087642	ENSMUSG00000087642.3	Ighe	12
ENSMUSG00000040007	ENSMUSG00000040007.8	Bahd1	2
